image	C:/Users/avirm/Documents/Research/Image 2/BB (62).tif
intensity-scaling	0
gaussian-std	1.6
ridge-threshold	0.011
maximum-foreground	65535
minimum-foreground	0
init-z	true
snake-point-spacing	2
minimum-snake-length	8
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	2
external-factor	1
stretch-factor	0.45
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
0           0     171.663     125.847           0     16274.8     14952.1
0           1     173.479     126.677           0     18241.7     17169.4
0           2     175.287     127.524           0     20878.9       17317
0           3      177.09     128.382           0     22448.9     14040.4
0           4     178.924     129.173           0     28703.3       14148
0           5     180.849     129.702           0     26754.6     14838.4
0           6     182.844     129.749           0     20606.9     17968.4
0           7     184.791     129.309           0     17513.7       20908
0           8      186.63      128.53           0     16648.3     14825.6
0           9     188.364     127.541           0     17286.7     14203.7
0          10      190.02     126.425           0     16244.4     13250.2
0          11     191.629     125.242           0     15626.9     13519.9
0          12     193.217     124.032           0     16304.3     13012.2
0          13     194.805     122.823           0     15574.4     13253.3
0          14      196.41     121.635           0     17530.7     13526.5
0          15     198.043     120.486           0     17327.7     14009.7
0          16     199.705     119.379           0     19007.6     13431.2
0          17     201.386     118.302           0     20945.3     13457.2
0          18     203.068     117.226           0     21425.4     13527.9
0          19     204.743      116.14           0     21954.1     13519.6
0          20     206.417     115.051           0     21509.9     12808.5
0          21     208.097     113.971           0     22840.5       12359
0          22     209.789     112.912           0     24211.2     12348.1
0          23       211.5     111.883           0     23829.3     12965.1
0          24     213.228     110.883           0     25073.5     14182.9
0          25     214.961      109.89           0     24282.7     16336.5
0          26     216.677     108.869           0     26570.7     18644.3
0          27      218.36     107.796           0     33160.4     22328.9
0          28     220.045     106.724           0     40162.6     20736.3
0          29     221.816     105.804           0     28399.4     17318.8
0          30     223.697     105.134           0     25394.9     15142.2
0          31     225.649     104.712           0     22447.1     15610.6
0          32     227.631     104.471           0     21419.8     14567.3
0          33     229.622     104.327           0     21163.1     14182.1
0          34     231.616     104.219           0     20877.1     13829.5
0          35      233.61     104.114           0     21142.1     13332.1
0          36     235.603      103.99           0       21883     13284.7
0          37     237.594     103.838           0     22680.6     12974.2
0          38     239.582      103.66           0     22387.6     12784.9
0          39      241.57     103.468           0     22537.3     13016.9
0          40     243.556      103.27           0       22903     13168.3
0          41     245.542      103.06           0     21367.5     13495.5
0          42     247.526     102.831           0     22277.4     13271.4
0          43     249.509     102.601           0     22993.6     13691.9
0          44     251.494     102.385           0     22630.1     13841.1
0          45     253.479     102.176           0     21842.5     14638.4
0          46     255.464     101.957           0     22806.2     14127.3
0          47     257.445      101.71           0     23186.1     13970.4
0          48     259.422      101.43           0     24737.1     14249.5
0          49     261.397     101.137           0     25902.2     14099.6
0          50     263.375     100.862           0     26960.5     13464.8
0          51     265.359     100.634           0     24661.3       13663
0          52     267.348     100.464           0     22570.2     12988.9
0          53     269.341     100.348           0     23711.9     13318.6
0          54     271.336      100.27           0     22510.9     13080.5
0          55     273.332     100.214           0     23397.7     13381.7
0          56     275.328     100.164           0       23227     13335.5
0          57     277.324      100.12           0     20547.8     12916.9
0          58     279.321     100.089           0     20031.9     13026.2
0          59     281.318     100.088           0     19907.2     12938.1
0          60     283.314     100.121           0     18688.6     13221.7
0          61      285.31     100.173           0     16744.2     13100.1
0          62     287.306     100.218           0     16111.6     13295.7
0          63     289.303     100.236           0     16052.4     13653.8
0          64     291.299     100.225           0     16253.8     13433.4
0          65     293.295     100.163           0     14924.3     13409.2
0          66      295.29     100.091           0     16604.9       14065
0          67     297.287      100.06           0     16981.9     13225.9
0          68     299.283     100.098           0     15827.6     13529.1
0          69     301.277     100.193           0       16465     14113.3
0          70     303.271     100.312           0     16822.1       16655
#1
1           0     80.8307     63.8718           0           0           0
1           1     81.3501     65.8155           0      7964.3     3890.23
1           2     81.8409     67.7667           0     8869.31     4120.48
1           3     82.2637     69.7337           0     7856.06     4647.91
1           4     82.5986     71.7175           0     7777.66     4230.98
1           5     82.8536     73.7132           0     8407.43        4113
1           6     83.0737     75.7131           0     10563.1     4437.91
1           7     83.3027     77.7119           0     10858.4      5229.7
1           8     83.5856     79.7038           0     9411.04     5437.24
1           9      83.962     81.6802           0     9973.42     6501.81
1          10     84.5073     83.6167           0     10934.2     7386.15
1          11     85.3454     85.4457           0     12528.6     11979.8
1          12     86.6049     87.0145           0     16942.8       12866
1          13     88.2617     88.1554           0     25099.3     11543.5
1          14     90.1445      88.864           0     32821.5     10786.5
1          15     92.1168     89.2609           0     31618.8     10907.7
1          16      94.117     89.4775           0     26226.4     10891.2
1          17     96.1243     89.6141           0     24100.1     10410.8
1          18      98.133     89.7283           0     25858.1     11000.3
1          19     100.141     89.8481           0       22352     11111.8
1          20     102.148     89.9869           0     22404.7       10888
1          21     104.154     90.1434           0     20164.8     10697.3
1          22      106.16     90.3018           0     20654.2     11028.1
1          23     108.167     90.4427           0     20015.9     11189.6
1          24     110.175      90.561           0     21053.3       11485
1          25     112.185      90.658           0     20949.4     10833.2
1          26     114.195     90.7422           0     21544.7     11750.2
1          27     116.205     90.8258           0     20188.2     11275.1
1          28     118.215     90.9147           0     20465.1     10818.7
1          29     120.225     91.0048           0     20133.9     10736.8
1          30     122.235     91.0914           0     19694.9     10510.3
1          31     124.246     91.1704           0     20363.6     11162.9
1          32     126.257     91.2301           0       20622     11209.9
1          33     128.268     91.2623           0     19454.8     10677.3
1          34      130.28     91.2748           0     19269.1     10940.7
1          35     132.292     91.2782           0     18276.8     10898.4
1          36     134.304     91.2751           0     20953.2     10602.7
1          37     136.316     91.2705           0       18973       10287
1          38     138.328     91.2695           0     16907.3     10255.8
1          39      140.34     91.2718           0     17828.8     10096.8
1          40     142.352     91.2758           0     18452.8     10250.7
1          41     144.364     91.2808           0     17623.4     10007.5
1          42     146.376     91.2885           0     18332.1       10184
1          43     148.388     91.3096           0     18825.8     9996.21
1          44     150.399     91.3639           0     18544.6     10522.1
1          45     152.408     91.4672           0       16534     10391.6
1          46     154.413     91.6345           0     17452.5     10599.7
1          47     156.408     91.8948           0     19918.3     10689.4
1          48     158.383     92.2801           0     19752.4     11185.8
1          49     160.323     92.8119           0     18260.5     11413.2
1          50     162.205     93.5234           0     20425.6     12972.1
1          51     163.988     94.4562           0     17908.3     13680.1
1          52     165.623     95.6281           0     19912.4     12809.6
1          53     167.094     97.0002           0     23355.2     13082.2
1          54     168.433     98.5024           0     21898.2     12566.9
1          55     169.685     100.077           0     21004.4     12159.5
1          56     170.883     101.694           0       22966     12017.4
1          57     172.037     103.342           0     21510.6       12421
1          58     173.141     105.024           0     23991.1     12384.6
1          59     174.174      106.75           0     20054.9     12601.1
1          60     175.101     108.536           0     20413.2     11993.9
1          61     175.869     110.395           0       20821     12407.4
1          62     176.432     112.327           0       20858     13907.8
1          63     176.781     114.308           0       21491     13421.6
1          64     176.957     116.313           0       22719     12968.6
1          65     177.014     118.324           0       20324     14049.5
1          66     177.025     120.336           0     24170.4     13204.5
1          67     177.009     122.347           0       23968     13674.2
1          68     177.007     124.359           0     20228.8     15196.4
1          69     177.046     126.371           0     20589.1     15636.8
1          70      177.09     128.382           0     22448.9       18201
#1
2           0     298.405     55.1262           0     13608.5     12953.1
2           1     298.749     57.1071           0       16613       12729
2           2     299.056     59.0942           0     16796.3     12504.2
2           3     299.268     61.0935           0     15466.8     12847.9
2           4     299.381      63.101           0     15456.6     12935.1
2           5     299.464     65.1098           0     14231.2     12851.4
2           6     299.607     67.1153           0     14518.2       12194
2           7      299.86     69.1099           0       14189     12139.9
2           8     300.191     71.0931           0     17366.7     11907.6
2           9     300.565     73.0685           0     19225.2     12024.3
2          10     300.932     75.0454           0     21156.8     11803.2
2          11     301.256     77.0296           0       20289     11332.6
2          12     301.533     79.0211           0     18588.9       11714
2          13     301.775      81.017           0       18344     11868.6
2          14     302.007     83.0142           0     17354.7     11904.3
2          15     302.253     85.0097           0     17761.8     11809.8
2          16     302.541     86.9995           0     18761.4       12702
2          17     302.896     88.9787           0     18460.8     13348.5
2          18     303.329      90.942           0     20741.4     13110.8
2          19     303.847     92.8848           0     20927.1     13028.1
2          20     304.444     94.8045           0     20787.6     12831.5
2          21     305.096     96.7066           0     19813.5     13536.2
2          22     305.767     98.6018           0     21785.4     14602.8
2          23     306.434     100.499           0     22829.8     14120.2
2          24     307.098     102.396           0     23658.9     14230.4
2          25     307.786     104.286           0     20603.1     13421.6
2          26     308.544     106.148           0     20594.4     13112.4
2          27      309.41     107.962           0     21946.6     12913.9
