image	C:/Users/avirm/Documents/Research/Image 4/BB (54).tif
intensity-scaling	0
gaussian-std	2
ridge-threshold	0.005
maximum-foreground	65535
minimum-foreground	0
init-z	true
snake-point-spacing	2
minimum-snake-length	6
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.01
beta	0.1
gamma	2
external-factor	1.8
stretch-factor	0.3
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	3
radial-far	7
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
0           0      142.99     343.153           0     53250.9     44404.6
0           1     144.463     344.497           0     60073.7     44748.8
0           2     145.932     345.846           0     64058.9     45686.5
0           3     147.381     347.216           0     64836.5     47472.8
0           4     148.793     348.623           0     64639.1     48320.2
0           5     150.128     350.105           0       65437     48734.8
0           6     151.328     351.697           0       65513     50839.6
0           7     152.492     353.316           0     65081.4     50715.1
0           8     153.686     354.913           0       65277     50909.7
0           9     154.934     356.469           0       65513     50106.1
0          10     156.225     357.988           0       65513     49192.3
0          11     157.533     359.493           0       65513     50081.1
0          12     158.842     360.997           0       65513     51110.2
0          13     160.155     362.498           0       65513     51958.3
0          14     161.504     363.966           0       65513     55274.2
0          15     162.932     365.357           0       65513     57633.7
0          16     164.459      366.64           0       65513     57677.1
0          17     166.055     367.835           0       65513       58285
0          18     167.669     369.006           0       65513     57858.2
0          19     169.258      370.21           0       65513     56885.2
0          20     170.817     371.454           0       65513     57098.2
0          21     172.372     372.702           0       65513     56585.8
0          22     173.955     373.914           0       65513     55981.1
0          23     175.582     375.067           0       65513     54676.8
0          24     177.246     376.166           0       65513     53932.4
0          25     178.934     377.227           0       65513     53302.3
0          26     180.635     378.268           0       65513     52585.6
0          27     182.339     379.303           0       65513     52209.7
0          28     184.045     380.335           0       65513     51712.5
0          29     185.756     381.359           0       65513     50915.7
0          30     187.478     382.365           0       65513     51258.4
0          31      189.21     383.352           0       65513     50931.9
0          32     190.957     384.315           0       65513     51239.3
0          33      192.72     385.246           0       65513     53873.3
0          34     194.504     386.136           0       65513       55136
0          35     196.308     386.985           0       65513     54706.8
0          36     198.129     387.797           0       65513     53932.1
0          37     199.961     388.585           0       65513     53049.4
0          38     201.798      389.36           0       65513     54246.6
0          39     203.635     390.136           0       65513     55560.9
0          40     205.467     390.922           0       65513     57102.8
0          41     207.295     391.719           0       65513     55436.7
0          42      209.12     392.522           0       65513     54481.4
0          43     210.945     393.326           0       65513     55339.1
0          44     212.771     394.127           0       65513     56280.7
0          45     214.603     394.915           0       65513     55272.7
0          46     216.443     395.682           0       65513     55474.7
0          47     218.295     396.422           0       65513     55088.1
0          48     220.157     397.136           0       65513     54429.9
0          49     222.026     397.831           0       65513     55174.2
0          50     223.896     398.523           0       65513     54899.8
0          51     225.757     399.238           0       65513     56087.7
0          52     227.595     400.012           0       65513     61564.3
0          53     229.393     400.874           0       65513       61600
0          54     231.145     401.825           0       65513     60049.3
0          55     232.865     402.835           0       65513     58801.4
0          56     234.575      403.86           0       65513     58630.3
0          57     236.293     404.872           0       65513     58708.3
0          58     238.027     405.857           0       65513     58162.4
0          59     239.772     406.821           0       65513     57172.3
0          60     241.521     407.779           0       65513     57518.3
0          61     243.266     408.743           0       65513     57208.8
0          62     245.002     409.725           0       65513     55739.8
0          63     246.724     410.729           0       65513     56463.5
0          64     248.432     411.758           0       65513     55882.2
0          65     250.127      412.81           0       65513     56236.8
0          66      251.81     413.879           0       65513     56201.4
0          67     253.484     414.961           0       65513     56478.2
0          68     255.156     416.048           0       65513     55975.9
0          69     256.834     417.126           0       65513     55981.3
0          70     258.526      418.18           0       65513     55361.8
0          71      260.24     419.199           0       65513     55943.4
0          72     261.981     420.172           0       65513     54029.2
0          73     263.751      421.09           0       65513     45877.5
0          74     265.554     421.941           0       65513     43641.1
0          75     267.394     422.709           0       65513       35083
0          76     269.269     423.389           0     65121.2     35686.6
0          77     271.182     423.951           0     62804.1     29027.1
0          78     273.134     424.357           0     62168.9     28812.1
0          79     275.115     424.576           0     58232.8     29554.1
0          80     277.109     424.582           0     48712.8       27129
0          81     279.092     424.376           0     42683.4       33440
0          82     281.045     423.973           0     37804.2     34609.9
0          83     282.964     423.432           0     40183.8     35877.3
0          84     284.864     422.826           0     41151.9     33356.2
0          85     286.754     422.192           0     38608.7     31681.4
0          86     288.631     421.517           0     40187.5       31860
0          87      290.48     420.771           0     40290.9     32377.7
0          88     292.294     419.943           0     37541.3     33217.2
0          89     294.079     419.055           0     37945.8     35555.9
0          90     295.848     418.135           0     40895.2     35534.6
0          91       297.6     417.183           0       42860     36315.8
0          92     299.313     416.162           0     40425.4     37696.7
0          93     300.993     415.088           0     43004.6     41362.8
0          94     302.593     413.898           0     47203.5     45173.2
0          95     304.079     412.569           0     50754.6     48562.3
0          96     305.462     411.132           0     57353.6     59545.5
0          97     306.789     409.644           0       65513     65512.4
#1
1           0     34.3017     384.055           0           0           0
1           1     35.7536     382.667           0     15172.5     237.156
1           2     37.1983     381.272           0     15045.7     3625.95
1           3     38.6868     379.923           0     14580.3     12017.4
1           4     40.3206     378.756           0       15364     16247.8
1           5     42.1475     377.926           0     16544.3     15757.8
1           6     44.1141     377.531           0     20698.9     15200.4
1           7     46.1199     377.572           0     26403.1     14554.9
1           8     48.0949     377.932           0       31173     14128.9
1           9     50.0206     378.501           0     35348.8     14403.7
1          10     51.9142     379.171           0       34003     15312.2
1          11     53.8005     379.861           0     30045.5     15606.8
1          12     55.6945      380.53           0     27516.2     15807.4
1          13     57.6011     381.162           0     29737.6     15913.3
1          14     59.5201     381.756           0     29813.3     15072.7
1          15     61.4494     382.315           0     29244.2     15233.7
1          16     63.3859     382.848           0     27531.9     13272.2
1          17     65.3257      383.37           0     27805.7     14005.4
1          18     67.2676     383.883           0     28120.4     13489.9
1          19     69.2119     384.388           0     28891.5     12746.8
1          20     71.1596     384.879           0     30107.9     13144.4
1          21     73.1126     385.348           0     26976.8     12299.1
1          22     75.0724     385.789           0     30782.4     12103.4
1          23       77.04     386.193           0     29725.5     13085.8
1          24     79.0154     386.557           0     28808.5     12658.9
1          25     80.9967     386.887           0     27216.4       12400
1          26     82.9816     387.196           0     28184.7     14249.7
1          27     84.9684     387.491           0     24450.5     13813.7
1          28     86.9565     387.778           0     26065.8     16057.6
1          29     88.9468     388.049           0     29753.7     16656.7
1          30     90.9388     388.307           0     31504.5     20217.3
1          31      92.929     388.579           0     37932.9     21139.1
1          32     94.9135      388.89           0     37935.7     16772.5
1          33     96.8929     389.231           0       37064     16030.2
1          34     98.8695     389.589           0     38005.5     16801.2
1          35     100.843     389.961           0     37981.7     15945.6
1          36     102.814      390.35           0     32575.5     16109.2
1          37     104.782     390.754           0     36552.3     16374.8
1          38     106.747      391.17           0     38410.8     15705.1
1          39     108.712     391.584           0       43090     18001.7
1          40     110.679     391.995           0     49797.2     17778.7
1          41     112.645     392.407           0     50808.9     17342.5
1          42     114.609     392.826           0       53623       18821
1          43     116.573     393.248           0     54767.5     18081.4
1          44     118.539     393.657           0     54856.4     18631.8
1          45     120.511     394.042           0     58254.1     18924.2
1          46     122.487     394.404           0     52848.8     19380.3
1          47     124.458     394.788           0     45665.3     21111.9
1          48      126.41     395.261           0     45121.9     20674.7
1          49     128.328      395.86           0     50068.6     19047.6
1          50     130.207     396.569           0     50951.4     19126.5
1          51     132.064     397.334           0     52467.1     20021.5
1          52     133.919     398.106           0     55906.5     19526.8
1          53     135.785     398.848           0     53685.1     21220.1
1          54     137.669     399.545           0     56053.9     17279.6
1          55     139.574     400.183           0     59267.4     16997.4
1          56     141.509      400.72           0     58389.8     16299.3
1          57     143.472     401.146           0     53490.3     13965.4
1          58     145.455     401.465           0     47697.1     18868.1
1          59      147.45     401.698           0     46480.1       17335
1          60     149.451     401.874           0     46344.2     17870.4
1          61     151.455     402.014           0     49658.1     24026.4
1          62      153.46     402.145           0     52265.1     23583.1
1          63     155.461     402.313           0     50739.6     23901.6
1          64     157.462     402.488           0       50779     28055.4
1          65     159.471     402.524           0     45870.2     27802.4
1          66     161.465     402.286           0     45097.7     36513.4
1          67     163.382     401.687           0     45752.1     42521.5
1          68     165.167     400.767           0     43032.5     46714.2
1          69     166.836     399.649           0     50781.1     56741.3
1          70      168.45     398.454           0     64825.9     62731.2
1          71     170.057     397.248           0       65513     65432.2
#1
2           0     114.161     316.851           0     39666.8     39139.9
2           1     116.167      316.84           0     40820.7     36001.8
2           2     118.174     316.874           0     44579.9     33032.8
2           3     120.177     316.991           0     54900.5     33243.3
2           4     122.172     317.207           0     57204.8     32733.6
2           5     124.154     317.521           0     57928.1     30876.3
2           6     126.121      317.92           0     59186.8     29516.1
2           7      128.08     318.356           0     55322.5     30199.2
2           8     130.051     318.733           0     54329.8       31012
2           9     132.037     319.019           0     57405.4     29022.5
2          10     134.035     319.203           0       51107     27954.2
2          11     136.041     319.281           0       47643     27433.8
2          12     138.047     319.263           0     45910.6     26764.2
2          13     140.052     319.178           0     46666.2     25626.2
2          14     142.056     319.069           0     46435.4     24673.5
2          15      144.06     318.968           0     47528.1     23278.1
2          16     146.065     318.889           0     51398.6     23511.4
2          17     148.071     318.828           0     51049.2     23284.3
2          18     150.078     318.781           0       52571     22411.2
2          19     152.084     318.755           0     49091.1     22775.7
2          20     154.091     318.754           0     45457.1     21418.8
2          21     156.098     318.767           0     44491.1     21330.3
2          22     158.104     318.777           0     47324.3     19234.6
2          23     160.111     318.786           0     46441.8     20182.4
2          24     162.118     318.808           0       49274     19629.9
2          25     164.123     318.877           0     49096.6     19015.7
2          26     166.125     319.025           0     40254.2     19115.5
2          27     168.118     319.257           0     32776.5       17674
2          28     170.104     319.542           0     31239.1     19222.3
2          29     172.087     319.852           0       31337     20229.7
2          30     174.068     320.175           0     28354.2     17368.8
2          31     176.048     320.502           0     27550.6     17717.1
2          32     178.027      320.83           0     27838.2     17995.6
2          33     180.003     321.181           0     29388.2     16791.7
2          34      181.97     321.581           0     36311.1     18224.7
2          35      183.92     322.052           0     41815.6     17263.3
2          36     185.852     322.596           0     51947.1     18606.9
2          37     187.773     323.176           0     56409.8     19934.5
2          38     189.695     323.753           0     54329.4     18143.6
2          39     191.627     324.296           0     47653.1     19768.8
2          40     193.572     324.788           0     43250.9     20610.8
2          41     195.527     325.241           0     47116.4     19267.2
2          42     197.487     325.675           0     51014.5     22081.2
2          43     199.445     326.114           0       58294       23954
2          44     201.398     326.573           0     57763.9       23645
2          45     203.351     327.036           0     63412.1     27426.6
2          46     205.312     327.462           0     60056.1     29650.9
2          47     207.287     327.817           0     63172.5     30409.8
2          48     209.268     328.136           0     63996.3     39692.1
2          49     211.234     328.539           0     62369.1     40181.1
2          50     213.148     329.143           0     58905.2     37440.7
2          51     214.989     329.942           0     61189.5     34982.1
2          52     216.776     330.855           0       65513     33248.5
2          53     218.534     331.822           0       65513     32542.7
2          54     220.278     332.816           0       65513     32836.9
2          55     222.008     333.832           0       65513     32511.8
2          56     223.723     334.875           0       65513       32639
2          57     225.423     335.941           0       65513     31914.6
2          58      227.11     337.027           0       65513     33586.6
2          59     228.785     338.132           0     65484.5     34993.8
2          60     230.441     339.266           0       65513     34418.8
2          61     232.076      340.43           0       65513     33958.8
2          62     233.695     341.616           0       65513     32581.5
2          63     235.312     342.804           0       65384     31451.2
2          64     236.927     343.995           0       65513     30139.5
2          65     238.516      345.22           0     65061.3     31952.6
2          66     240.036      346.53           0     65277.8     34421.8
2          67     241.452     347.953           0     63181.6     36489.1
2          68      242.77     349.466           0     63643.5     34281.9
2          69     244.037     351.022           0     65319.8     31443.9
2          70     245.296     352.585           0     63148.2     30737.3
2          71     246.559     354.145           0     63642.8     30856.5
2          72     247.817     355.708           0     64498.9     31871.6
2          73     249.054     357.288           0       63527     34235.3
2          74     250.281     358.876           0     62923.3     35168.5
2          75     251.559     360.423           0     63421.6     40038.9
2          76     252.967     361.853           0     65416.9     38880.8
2          77     254.511     363.135           0     65248.8     34077.6
2          78      256.14     364.306           0     65396.9     34367.1
2          79      257.81     365.419           0     65257.4     35622.9
2          80     259.494     366.512           0     64423.6     35809.6
2          81     261.174     367.608           0       65513     36386.4
2          82     262.841     368.725           0       65513     36819.8
2          83     264.481     369.883           0       65513     36042.3
2          84      266.08     371.095           0       65513     36378.2
2          85     267.635     372.364           0     65177.5     35889.6
2          86     269.155     373.674           0     59930.1     37780.2
2          87     270.652      375.01           0     57414.1     37820.2
2          88     272.144     376.352           0       59778     37808.3
2          89     273.643     377.686           0     61709.9     36745.9
2          90     275.153     379.008           0       65513     35990.7
2          91     276.674     380.318           0       65513     35699.5
2          92     278.207     381.613           0       65513     36974.2
2          93     279.758     382.885           0       65513     38682.7
2          94     281.331     384.132           0       65513     38826.5
2          95     282.915     385.364           0       65513     37585.8
2          96      284.49     386.607           0       65513     39869.2
2          97     286.038     387.884           0       65513     41035.9
2          98     287.545     389.209           0       65513       42979
2          99     289.011      390.58           0       65513     44785.8
2         100     290.448     391.981           0       65513       44755
2         101     291.867       393.4           0       65513       44924
2         102     293.266     394.838           0       65513       46201
2         103     294.634     396.306           0       65513     46685.5
2         104     295.968     397.806           0       65513     48137.5
2         105     297.281     399.323           0       65513     47100.3
2         106     298.609     400.828           0       65513     43467.6
2         107     299.976     402.297           0       65513     44133.6
2         108     301.396     403.715           0       65513     44619.6
2         109     302.838      405.11           0       65513     47145.5
2         110     304.242     406.544           0       65513     53209.1
2         111     305.559     408.059           0       65513     49189.6
2         112     306.789     409.644           0       65513       48404
#1
3           0     54.1984     298.149           0     39157.1     20850.2
3           1     56.1505     298.434           0     43560.1     17471.8
3           2     58.1029     298.718           0     47486.5     21269.6
3           3     60.0531     299.016           0     49217.3     21563.7
3           4     61.9968     299.355           0     53660.4     20344.7
3           5     63.9294     299.752           0     60427.7     23748.5
3           6     65.8404     300.242           0     65125.4     23064.8
3           7     67.7272     300.819           0       65513     27419.2
3           8     69.5931      301.46           0       65513     34054.7
3           9     71.4241     302.194           0       65513     33270.6
3          10     73.2101     303.032           0       65513     39775.4
3          11     74.9544     303.954           0       65513     41800.7
3          12     76.6664     304.935           0       65513     45676.7
3          13     78.3513     305.961           0       65513     46635.5
3          14     80.0127     307.025           0       65513     46110.6
3          15     81.6595     308.112           0       65513     48203.6
3          16     83.2991     309.209           0       65513       49553
3          17     84.9297      310.32           0       65513     50670.1
3          18     86.5411     311.458           0       65513       51861
3          19     88.1222     312.638           0       65513     52597.4
3          20      89.667     313.865           0       65513     52388.8
3          21      91.181      315.13           0       65513     51939.4
3          22     92.6943     316.396           0       65513     52526.8
3          23     94.2621     317.594           0       65513     54152.8
3          24     95.9279     318.651           0       65513     53974.7
3          25     97.6829     319.552           0       65513     52824.2
3          26     99.4788     320.369           0       65513     51364.7
3          27     101.269     321.199           0       65513       51909
3          28     103.014     322.119           0       65513       51058
3          29     104.721     323.109           0       65513     49471.7
3          30     106.417     324.115           0       65513     47346.4
3          31     108.124     325.105           0     62533.1     45248.2
3          32     109.841     326.076           0       57513     44919.8
3          33     111.562     327.043           0     53641.5     44652.8
#1
4           0     296.927     361.314           0     20112.2     18892.2
4           1     298.473     360.001           0       21415     17421.9
4           2     300.027     358.699           0     20447.2     17396.5
4           3     301.593     357.412           0     20519.2     17054.3
4           4     303.177     356.145           0     21871.8     17679.3
4           5     304.784     354.909           0     21821.2     18142.1
4           6     306.426      353.72           0     23435.3     17849.2
4           7     308.106     352.585           0     24311.4     18182.2
4           8      309.83     351.518           0       24674     18647.7
4           9     311.605     350.538           0     24967.4     19057.7
4          10     313.435     349.665           0     25602.7     19009.9
4          11     315.318     348.914           0     25185.9     19334.4
4          12     317.252     348.303           0       22763     20496.6
4          13     319.228     347.851           0     22636.9     20656.8
4          14     321.237     347.574           0     21343.2     17244.2
4          15     323.262     347.474           0       20998     16909.8
4          16     325.289     347.531           0     20051.8     15640.4
4          17     327.309     347.702           0     21239.9     14469.8
4          18     329.322     347.941           0     19849.8     14874.1
4          19     331.332      348.21           0     20590.8     12795.2
4          20     333.341     348.486           0     21547.4       13931
4          21     335.348     348.768           0     22346.9     14678.5
4          22     337.353      349.07           0     22059.2     12969.1
4          23     339.352     349.409           0     23129.5     14105.2
4          24     341.341     349.803           0     23101.2     14822.1
4          25     343.315     350.265           0     24834.8     13674.9
4          26     345.277     350.778           0     25105.9       14814
4          27     347.234     351.308           0     24876.2     13317.4
4          28     349.198     351.813           0     25078.8     15122.3
4          29     351.175     352.262           0       22433     16074.2
4          30     353.165     352.651           0     19794.5     14077.7
4          31     355.163     352.994           0       18705     14547.9
4          32     357.166      353.31           0       18694     15672.3
4          33     359.169      353.62           0     19471.2     13862.5
4          34     361.174     353.925           0     18726.7     14782.7
4          35      363.18     354.221           0     19304.1     15796.4
4          36     365.187     354.507           0     20637.6     13771.5
#1
5           0     306.789     409.644           0       65513     48682.6
