image	C:/Users/avirm/Documents/Research/Image 9/BB (20).tif
intensity-scaling	0
gaussian-std	1.5
ridge-threshold	0.006
maximum-foreground	65535
minimum-foreground	0
init-z	true
snake-point-spacing	1
minimum-snake-length	17
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.006
beta	0.21
gamma	2
external-factor	1.65
stretch-factor	0.3
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
0           0     9.68183     350.513           0     35206.3     25015.8
0           1     10.0141     351.458           0     39165.3     20737.9
0           2      10.393     352.385           0     45644.9     19630.1
0           3     10.8786     353.261           0     54201.6     21935.2
0           4       11.51     354.038           0     62163.5     22325.5
0           5     12.2656     354.695           0     62173.4     29140.8
0           6     13.0937     355.259           0     64829.3     34994.9
0           7     13.9558     355.769           0     65414.9     33728.5
0           8     14.8308     356.257           0     65188.5     33145.8
0           9      15.716     356.726           0       65514     32776.9
0          10     16.6109     357.176           0       65404     33175.7
0          11     17.5033     357.632           0       65514     32806.8
0          12     18.3915     358.095           0     64952.8     32052.1
0          13     19.2758     358.566           0     65130.8     31104.6
0          14     20.1561     359.044           0     65136.6     30708.7
0          15     21.0341     359.526           0     65387.5     29553.4
0          16     21.9102     360.012           0     65426.3     28780.7
0          17     22.7854       360.5           0     64857.4     28837.1
0          18     23.6607     360.987           0     65449.1     27590.4
0          19     24.5369     361.473           0     64933.3     26608.1
0          20     25.4147     361.955           0     65366.1     27044.9
0          21     26.2933     362.437           0       65514     27438.5
0          22     27.1721     362.918           0     65457.2     27367.4
0          23      28.049     363.402           0       65514     27445.1
0          24      28.925     363.888           0       65514     26536.3
0          25        29.8     364.376           0     65388.2     27103.1
0          26      30.675     364.864           0       65514     27377.8
0          27     31.5478     365.356           0     65382.4     26873.3
0          28     32.4169     365.854           0     65418.4     26827.6
0          29     33.2792     366.364           0       65514     26512.1
0          30     34.1347     366.885           0     65435.8     26377.8
0          31      34.982      367.42           0     65482.8     25871.8
0          32      35.821     367.967           0       65514     24880.6
0          33     36.6492     368.531           0     65286.5     24591.4
0          34     37.4643     369.113           0       64365     24119.7
0          35     38.2633     369.717           0     60300.1     24630.7
0          36     39.0447     370.344           0     56919.1     24666.5
0          37     39.8098     370.991           0     57234.9     24319.5
0          38      40.558     371.657           0     53612.3     24623.6
0          39      41.292     372.339           0     53479.7     24693.3
0          40     42.0128     373.035           0     54400.7     24876.6
0          41     42.7193     373.745           0     54858.4       25201
0          42     43.4157     374.465           0       54153     25133.6
0          43      44.104     375.193           0     54250.1     23959.5
0          44     44.7828      375.93           0     57619.6     24393.1
0          45     45.4535     376.674           0     57540.9     25099.1
0          46     46.1218      377.42           0     58099.6     25490.5
0          47     46.7938     378.163           0       60780     25670.5
0          48     47.4776     378.895           0     62479.7       25190
0          49      48.176     379.614           0     64773.7     25344.4
0          50     48.8878     380.319           0     64981.1     26068.2
0          51     49.6125      381.01           0     65361.1     26655.8
0          52     50.3484      381.69           0     63773.8     26784.8
0          53     51.0967     382.356           0       65514       27245
0          54     51.8598     383.005           0     65508.7     27258.7
0          55     52.6377     383.636           0     65431.4     27477.6
0          56     53.4269     384.253           0       65001     28406.2
0          57     54.2216     384.863           0       65514     28534.6
0          58     55.0146     385.476           0       63972     27998.7
0          59     55.8041     386.092           0     64525.7     28437.2
0          60     56.5925      386.71           0     64635.6     28342.5
0          61     57.3841     387.324           0       65514     28638.8
0          62     58.1834     387.928           0     65507.3     28584.3
0          63     58.9921      388.52           0       65514       28993
0          64     59.8121     389.095           0     65443.1       29899
0          65     60.6441     389.653           0       65514     31597.5
0          66     61.4889     390.192           0       65514       33358
0          67     62.3513     390.701           0       65514     35634.2
0          68     63.2383     391.167           0       65514     35144.9
0          69     64.1581     391.564           0       65514     33826.5
0          70     65.1118      391.87           0       65514     33761.4
0          71     66.0903     392.085           0       65514     33396.7
0          72     67.0823     392.225           0       65514     33174.8
0          73     68.0804     392.311           0       65514     33440.6
0          74     69.0812     392.356           0       65514     34632.2
0          75      70.083     392.365           0       65514     34837.4
0          76     71.0844     392.337           0       65514     34827.7
0          77     72.0843     392.276           0       65514     35428.3
0          78     73.0821     392.186           0       65514     35566.5
0          79     74.0774     392.072           0       65514     35167.6
0          80     75.0696     391.934           0       65514     35993.1
0          81     76.0583     391.773           0       65514     35960.3
0          82     77.0437     391.592           0       65514     35976.6
0          83     78.0273     391.402           0       65514     36398.1
0          84     79.0115     391.215           0       65514     37028.3
0          85     79.9988     391.045           0       65514       36557
0          86     80.9905     390.903           0       65514     36827.6
0          87     81.9861     390.792           0       65514     37724.7
0          88     82.9841     390.705           0       65514     38345.1
0          89     83.9831      390.63           0       65514     38423.8
0          90     84.9822     390.556           0       65514     38864.4
0          91     85.9807     390.475           0       65514     39740.6
0          92     86.9784     390.384           0       65514     40671.7
0          93      87.975     390.282           0       65514     42046.7
0          94     88.9706      390.17           0       65514       44346
0          95     89.9652     390.051           0       65514     46812.2
0          96     90.9591     389.925           0       65514     47920.7
0          97     91.9527     389.797           0       65514     47159.8
0          98     92.9463     389.669           0       65514     46277.1
0          99     93.9407     389.548           0       65514     46129.2
0         100     94.9365     389.438           0       65514     46316.1
0         101     95.9343     389.349           0       65514     46590.6
0         102      96.934     389.283           0       65514     46539.4
0         103     97.9347     389.237           0       65514     44861.7
0         104     98.9357     389.197           0       65514     43423.8
0         105     99.9361     389.144           0       65514     44029.8
0         106     100.933      389.05           0       65514     45103.1
0         107     101.923     388.892           0       65514     47474.5
0         108     102.898     388.661           0       65514     49941.3
0         109     103.857     388.374           0       65514     54138.5
0         110     104.813     388.074           0       65514     54549.1
0         111     105.783     387.821           0       65514     52627.4
0         112     106.772     387.662           0       65514     52568.3
0         113     107.772     387.618           0       65514     50872.9
0         114     108.772     387.688           0       65514     48451.1
0         115     109.759     387.855           0       65514     46852.3
0         116     110.731     388.098           0     65474.6     45128.9
0         117     111.689     388.393           0       65514     44706.4
0         118     112.632     388.729           0       65514       44132
0         119     113.561     389.104           0     65015.4     43696.9
0         120     114.477     389.511           0       64788     42774.2
0         121     115.377      389.95           0       65432     41080.4
0         122     116.263     390.418           0     64843.9     40618.8
0         123     117.133     390.914           0     65454.1     40756.3
0         124     117.985     391.441           0     65455.6     41332.8
0         125      118.82     391.995           0       65514     42280.6
0         126     119.639     392.573           0       65514     42355.6
0         127     120.448     393.163           0       65514     42290.3
0         128     121.255     393.756           0       65514     42402.5
0         129     122.072     394.336           0       65514     43248.3
0         130     122.909     394.887           0       65514     43615.2
0         131     123.768     395.402           0       65514     43502.5
0         132     124.646     395.885           0       65514     43563.7
0         133     125.533     396.351           0       65514     43030.8
0         134     126.421     396.815           0       65514     43930.6
0         135     127.305     397.285           0       65514     44340.7
0         136     128.189     397.757           0       65514     44177.2
0         137     129.079     398.217           0       65514       44012
0         138     129.984     398.647           0       65514       44733
0         139     130.907     399.036           0       65514     45852.7
0         140     131.841     399.397           0       65514     45648.7
0         141     132.777     399.756           0       65514     45851.6
0         142     133.701     400.142           0       65514       46004
0         143     134.604     400.575           0       65514     46714.2
0         144      135.48     401.062           0     65412.6     47865.5
0         145     136.322     401.604           0       65514       46775
0         146     137.129     402.198           0       65514     46396.6
0         147     137.898     402.841           0       65514     46234.1
0         148     138.627     403.527           0       65514       46858
0         149     139.322     404.249           0       65514     47428.2
0         150      139.98     405.004           0     65513.9     48045.9
0         151     140.595     405.795           0       65514     48563.6
0         152     141.171     406.615           0       65514     49050.9
0         153     141.715     407.456           0       65514     50042.3
0         154     142.258     408.298           0       65514     50411.3
0         155     142.827     409.123           0     65395.2     49668.3
0         156      143.46     409.899           0       65514       47872
0         157     144.195     410.579           0       65514     42948.9
0         158     145.035     411.125           0     65023.5     29120.6
0         159     145.947     411.538           0     65398.1     22496.7
0         160     146.897     411.858           0       65514     17892.2
0         161     147.862     412.126           0     63038.1     15103.1
0         162     148.831     412.378           0     48358.2     14510.6
#0
1           0     328.602     371.988           0       60306       23871
1           1     329.426     371.419           0     54157.6     24042.9
1           2     330.216     370.805           0     49805.9     24888.1
1           3     330.907      370.08           0     41907.4     26734.1
1           4     331.464     369.249           0     35720.9     29943.9
1           5     331.889     368.342           0     32947.8     34524.9
1           6      332.27     367.416           0     34649.2     35451.5
1           7     332.683     366.504           0       36925     33978.2
1           8     333.195     365.644           0     37669.8     32520.6
1           9     333.805      364.85           0     38320.6       31033
1          10     334.505     364.134           0     37855.6     29673.5
1          11     335.253     363.469           0     38140.7     28183.8
1          12     336.035     362.843           0       35746     26756.9
1          13     336.828     362.232           0     34177.6     25895.9
1          14     337.636      361.64           0     33007.2     25349.2
1          15     338.454     361.063           0     31678.1     24709.2
1          16       339.3     360.528           0     31159.3     24256.6
1          17     340.172     360.035           0     31194.9       24220
1          18     341.068     359.588           0     32298.7     23966.6
1          19     341.953      359.12           0     32994.1     23169.2
1          20      342.78     358.557           0     31475.2     20493.4
1          21     343.456     357.819           0     29834.1     20908.1
1          22     343.906     356.926           0     23249.1     24562.7
1          23     344.115     355.947           0     19394.4     17189.1
1          24     344.163     354.947           0     18890.3     15186.4
1          25     344.132     353.947           0     17140.5     14085.1
1          26      344.09     352.946           0     16985.2       12258
1          27     344.054     351.946           0     16341.9     11994.8
1          28     344.028     350.945           0     14373.9     12262.1
1          29     343.991     349.944           0     15331.2     11892.2
1          30     343.945     348.944           0     16050.5     11835.7
1          31     343.887     347.945           0     15343.6     11265.7
1          32     343.821     346.945           0       16744     9591.68
1          33      343.74     345.948           0     14417.2     9496.65
1          34     343.644     344.951           0     13752.5     9875.61
1          35     343.524     343.957           0     15146.2     10030.3
1          36     343.382     342.966           0     14178.2     9905.07
1          37     343.211     341.979           0     14338.9     8626.93
1          38     343.011     340.998           0     13898.1      8615.4
1          39      342.78     340.024           0     14053.3      8899.3
1          40     342.531     339.054           0     13161.4      9552.2
1          41      342.27     338.088           0     13286.1     9561.84
1          42     342.013      337.12           0       13517      9454.4
1          43     341.765      336.15           0     13053.9     8717.17
1          44      341.54     335.174           0       12585     9117.67
1          45     341.342     334.193           0     13124.3     9120.09
1          46     341.181     333.205           0     12779.1     9538.01
1          47     341.046     332.213           0     12856.8        9373
1          48     340.929     331.218           0       12729     9056.71
1          49     340.809     330.224           0     12210.9     8070.48
1          50     340.678     329.232           0     11649.2     8069.82
1          51     340.527     328.242           0     11933.9     8156.84
1          52     340.358     327.255           0     12301.5     8810.98
1          53     340.171     326.271           0     11967.3      9049.6
1          54     339.973      325.29           0     12134.5     7961.16
1          55     339.767      324.31           0     12967.9     7910.66
1          56     339.563      323.33           0     12239.8     8186.48
1          57     339.365     322.348           0     11980.2     8498.77
1          58     339.182     321.364           0     12742.7     9045.34
1          59     339.009     320.378           0     12643.3     9212.94
1          60     338.844      319.39           0     12546.7     8871.07
1          61     338.681     318.402           0     12333.2     8391.25
1          62     338.524     317.414           0     12320.2     8441.49
1          63     338.379     316.423           0     12223.6     8857.17
1          64     338.255     315.429           0     12334.3     9050.38
1          65     338.153     314.433           0     13539.6      9219.9
1          66     338.072     313.436           0     13393.4     9546.55
1          67     337.997     312.437           0     13085.8     8345.81
1          68     337.921     311.439           0     13721.7     8608.26
1          69     337.826     310.442           0     13989.5     9263.11
1          70     337.705     309.448           0     13943.5     9373.88
1          71     337.547     308.459           0     14461.7     9218.37
1          72     337.358     307.476           0     14764.1     8586.06
1          73     337.147     306.497           0       15064     8889.57
1          74     336.931      305.52           0     15142.9     9321.05
1          75      336.72     304.541           0       14356     10113.6
1          76     336.518      303.56           0     15119.7       10440
1          77     336.325     302.578           0     15672.5     10376.1
1          78     336.139     301.594           0     15516.1      9617.9
1          79     335.955      300.61           0     16704.3     9872.06
1          80     335.769     299.626           0     16376.4     10395.6
1          81     335.572     298.645           0     16184.9     11002.2
1          82     335.362     297.666           0     16541.1     11575.3
1          83     335.136      296.69           0     17049.5     11353.6
1          84     334.893     295.719           0     18006.2     10843.5
1          85     334.629     294.753           0     17825.4     11750.2
1          86     334.347     293.793           0     17947.1     12599.3
1          87     334.041     292.839           0     17946.2     13759.3
1          88     333.707     291.895           0     19091.1     12517.7
1          89     333.334     290.966           0     19626.1     13917.1
1          90     332.904     290.062           0     19012.8     15179.2
1          91     332.393     289.201           0     18786.5     17986.4
