image	C:/Users/avirm/Documents/Research/Image 15/AB (11).tif
intensity-scaling	0
gaussian-std	1.35
ridge-threshold	0.0038
maximum-foreground	65535
minimum-foreground	0
init-z	true
snake-point-spacing	1
minimum-snake-length	12
maximum-iterations	10000
change-threshold	0.1
check-period	100
alpha	0.006
beta	0.24
gamma	2
external-factor	2.2
stretch-factor	0.15
number-of-background-radial-sectors	8
background-z-xy-ratio	2.88
radial-near	4
radial-far	8
delta	4
overlap-threshold	1
grouping-distance-threshold	4
grouping-delta	8
minimum-angle-for-soac-linking	2.1
damp-z	false

s           p           x           y           z      fg_int      bg_int
#1
0           0     322.577     186.366           0     58618.9     32719.4
0           1     323.572     186.302           0     61913.8     31245.4
0           2     324.564     186.207           0     58069.2     34259.1
0           3     325.547     186.039           0     51553.3     38883.2
0           4     326.519     185.815           0     46039.6       43012
0           5     327.489     185.587           0     42245.5     41308.7
0           6      328.47     185.409           0     42813.5     36262.9
0           7      329.46     185.294           0       44193     31895.5
0           8     330.452     185.189           0     42614.6     30589.3
0           9     331.434      185.02           0     40251.9     34613.7
0          10     332.394     184.752           0     37686.7     37025.6
0          11     333.324     184.393           0     37003.6     31896.6
0          12     334.239     183.995           0     38067.8     27458.3
0          13     335.156     183.606           0     39185.3     25889.9
0          14     336.087     183.248           0     39405.6     25494.2
0          15     337.031     182.927           0     41912.2     24636.7
0          16     337.987     182.644           0     39802.1     24422.2
0          17     338.952     182.395           0     39194.4     24116.4
0          18     339.926     182.181           0     36670.5     23773.6
0          19     340.908     182.008           0     36658.7     23384.8
0          20     341.897     181.884           0     34874.3       23305
0          21     342.891      181.81           0     33508.6     23434.1
0          22     343.888     181.777           0     31716.9     21728.6
0          23     344.884     181.772           0     31002.5     20735.4
0          24     345.881     181.783           0     29389.8       21241
0          25     346.878     181.807           0     31635.2     21112.3
0          26     347.874     181.849           0     29697.4     18015.8
0          27     348.868     181.925           0     28582.5     18361.5
0          28     349.857     182.052           0     29377.6     19470.1
0          29     350.836      182.24           0     28987.1     16453.6
0          30     351.801     182.491           0     29203.5     17194.1
0          31     352.752     182.791           0       29596     17915.3
0          32     353.691     183.124           0     30017.4       17133
0          33     354.622     183.482           0     30342.2     16647.3
0          34     355.542     183.866           0     31952.7     18206.1
0          35     356.445     184.289           0     32503.2     19745.7
0          36     357.325     184.757           0     32826.8       18583
0          37     358.179     185.272           0     33884.2       20579
0          38     359.009     185.825           0     35156.8     21715.4
0          39     359.818     186.406           0       35774     20891.4
0          40     360.616     187.005           0     36999.8     21964.5
0          41     361.402     187.618           0     37102.9     22113.7
0          42     362.174     188.248           0     37455.1     22905.6
0          43     362.931     188.897           0     35651.2     23342.8
0          44     363.676      189.56           0     35369.3     24301.6
0          45     364.422     190.222           0     36124.2       24362
0          46     365.183     190.866           0     36997.3     23199.9
0          47     365.973     191.474           0     37636.9     22851.9
0          48     366.798     192.033           0     40669.4     22597.8
0          49     367.654     192.544           0     36439.8     22119.2
0          50     368.528     193.024           0     36796.5     21386.9
0          51     369.406     193.497           0     36661.9     21495.1
0          52     370.275     193.986           0     36301.4     21772.6
0          53     371.127     194.503           0     32027.3     21747.9
0          54     371.963     195.047           0     30450.7     22376.2
0          55     372.787     195.607           0     30751.2       22558
0          56      373.61     196.171           0     30637.8     23156.5
0          57     374.439     196.724           0       31339     23812.2
0          58     375.279     197.261           0     32087.4     24204.8
0          59     376.128     197.783           0     33071.3     24435.5
0          60     376.983     198.296           0     33325.6     24196.2
0          61     377.842     198.803           0     31290.2     24507.5
0          62       378.7      199.31           0     31703.6     25057.9
0          63      379.56     199.814           0       34103     25430.9
0          64     380.421     200.317           0     37650.4       26674
0          65     381.285     200.815           0     41770.4     27978.9
0          66      382.15     201.311           0     44215.7     28766.5
0          67     383.016     201.805           0     47013.4       30179
0          68     383.881       202.3           0     47508.9     31818.9
0          69     384.748     202.792           0     47873.5     32496.9
0          70     385.617      203.28           0     48183.6     33748.4
0          71      386.49     203.762           0     46648.3     35036.6
0          72     387.364     204.242           0     45449.3     35486.9
0          73     388.237     204.723           0     43464.9     35682.9
0          74     389.106     205.212           0     42652.7     35834.9
0          75      389.97     205.709           0     42602.4     35870.4
0          76      390.83     206.215           0     42614.6     36898.2
0          77     391.687     206.723           0       42539     37240.1
0          78     392.548     207.226           0     41244.4     36792.9
0          79     393.422     207.706           0       39151     36210.6
0          80     394.317     208.146           0     39845.5     36076.3
0          81      395.24     208.523           0     39696.2     35731.8
0          82     396.187     208.834           0     38599.6     35185.1
0          83     397.149     209.094           0     38305.5     34400.2
0          84     398.115     209.342           0     39946.2     33172.1
0          85     399.068     209.636           0     42581.5     33094.3
0          86     399.989     210.015           0     46684.3     33068.2
0          87     400.868     210.486           0     47860.8     33009.8
0          88     401.708     211.023           0     48376.6     33240.8
0          89     402.526     211.593           0     49147.2     33413.2
0          90     403.337     212.173           0     53395.9     33308.4
0          91     404.147     212.754           0     53560.2     33855.4
0          92     404.956     213.337           0     54953.3     34599.6
0          93     405.766     213.918           0     55331.6     36413.7
0          94     406.578     214.497           0     52949.6     38056.5
0          95     407.394     215.069           0     52746.7     39160.5
0          96     408.211     215.642           0     54204.2     40604.8
0          97      409.02     216.224           0     57828.8     40360.9
0          98     409.815     216.825           0     58910.5     40035.6
0          99     410.593     217.449           0     62183.9     40045.1
0         100     411.348       218.1           0       64792     39042.7
0         101      412.07     218.788           0       65088     38844.5
0         102     412.744     219.522           0     64993.3       37902
0         103     413.367       220.3           0       65509     37992.7
0         104     413.945     221.112           0     65491.9     38141.9
0         105     414.489     221.948           0       65509     39049.4
0         106     415.029     222.786           0       65509     39581.4
0         107     415.557     223.632           0       65509     40719.6
0         108     416.109     224.462           0       65509     41571.1
0         109      416.71     225.257           0       65509     41752.6
0         110     417.355     226.018           0       65509       42514
0         111     418.017     226.763           0       65509     42914.8
0         112      418.67     227.516           0       65509     42340.7
0         113     419.292     228.296           0       65509     42788.2
0         114     419.869     229.109           0     65487.7     42607.4
0         115     420.415     229.943           0       62334     43624.1
#1
1           0     420.415     229.943           0       62334     53346.1
1           1     421.413     229.949           0       56674       53354
1           2      422.41     229.994           0     54670.5     52346.8
1           3     423.396     230.152           0     54523.9     50598.3
1           4     424.357     230.425           0     53887.6     49462.4
1           5     425.291     230.778           0     55191.9     47922.6
1           6     426.207     231.176           0     58290.2       44696
1           7     427.124     231.571           0     59311.2     41859.6
1           8     428.056     231.929           0       58295     39779.3
1           9     429.006     232.237           0     58118.1     38540.5
1          10     429.971     232.493           0     53946.8     37026.8
1          11     430.948     232.696           0       55503     36470.3
1          12     431.935     232.852           0     57888.8     35900.1
1          13     432.926     232.973           0     56613.4     35754.8
1          14      433.92     233.065           0     58227.5     35588.2
1          15     434.916     233.134           0     60325.1     35961.5
1          16     435.913     233.187           0     61922.7       35918
1          17     436.911     233.232           0     62676.3     35985.7
1          18     437.909     233.269           0     64354.3       35933
1          19     438.907     233.292           0     65409.7       36354
1          20     439.906     233.294           0     65222.4     35730.7
1          21     440.904     233.279           0     64861.5     35076.5
1          22     441.902     233.255           0     65447.8     33966.1
1          23     442.901      233.23           0     64824.8     33601.2
1          24     443.899     233.199           0     62473.8     33992.6
1          25     444.896     233.149           0     60202.1     34605.9
1          26     445.891     233.063           0     60898.5     35448.5
1          27     446.881     232.938           0     59710.5     35644.9
1          28     447.869     232.788           0     60637.8     35983.4
1          29     448.855     232.635           0     60729.5     35366.6
1          30     449.844     232.493           0     59883.4     35080.1
1          31     450.834     232.365           0     60268.3     34507.1
1          32     451.825     232.243           0     60372.2     33431.6
1          33     452.815     232.116           0     58149.7     32374.4
1          34     453.805     231.983           0     57186.2     30639.3
1          35     454.796     231.856           0     57263.2     29979.1
1          36     455.789     231.752           0     56857.3     30131.7
1          37     456.785      231.69           0     55572.1     31936.5
1          38     457.784     231.679           0       55987     33305.4
1          39     458.782     231.719           0     61789.1     32553.1
1          40     459.776     231.804           0     63865.3     30987.9
1          41     460.768     231.923           0       64773     30470.2
1          42     461.756     232.064           0     64950.5     29964.7
1          43     462.744     232.213           0     64564.4     29411.3
1          44      463.73     232.371           0     63748.3     28627.5
1          45     464.713     232.543           0     62718.9     28241.9
1          46     465.693     232.734           0     64593.2     28553.6
1          47      466.67     232.944           0     65479.8     29251.5
1          48     467.643     233.166           0     62978.2       29893
1          49     468.617     233.388           0     60112.6     30375.1
1          50      469.59     233.613           0     57567.2       29953
1          51      470.56     233.849           0     54036.7     29267.5
1          52     471.526     234.101           0       51732     29667.5
1          53     472.491     234.356           0     50181.6     30617.4
1          54     473.462     234.591           0     47753.7     31661.8
1          55     474.444     234.769           0     44954.6     31849.3
1          56     475.437     234.875           0     42302.7     31502.9
1          57     476.435     234.921           0     39868.8     31347.9
1          58     477.433     234.932           0     39289.9     31936.7
1          59     478.432     234.947           0       41142     33617.6
1          60     479.429     235.001           0     44227.4       33991
1          61     480.421     235.109           0     44681.2     33754.1
1          62     481.409     235.254           0     44053.4     32661.8
1          63     482.395     235.412           0     43541.3       31568
1          64     483.382     235.566           0     44424.4     31943.4
1          65     484.369     235.713           0     45113.5       31461
#1
2           0     330.334      194.29           0     61887.5     38609.6
2           1     331.116     194.918           0     64757.9     39106.7
2           2     331.902     195.541           0     64619.4     39689.9
2           3     332.695     196.155           0     65167.5     40115.7
2           4     333.495      196.76           0     64305.8     39621.8
2           5     334.297     197.362           0     64999.3     39909.2
2           6     335.106     197.956           0     65347.3     41464.8
2           7     335.936     198.518           0       65509     41844.6
2           8     336.803     199.023           0       65509       41616
2           9     337.712     199.447           0     64296.7     42367.4
2          10     338.656     199.785           0     64039.3       42886
2          11      339.63     200.022           0     63231.9       43166
2          12     340.616      200.21           0     62081.9     43050.6
2          13     341.594     200.429           0     63158.7     42252.5
2          14     342.548     200.738           0     64930.5     41782.6
2          15     343.464     201.148           0     65186.4     41034.7
2          16     344.344     201.629           0     65494.6     41761.6
2          17     345.204     202.145           0     65337.7     41601.2
2          18     346.055     202.676           0       65509     42211.8
2          19     346.904      203.21           0     65464.7     42681.3
2          20     347.751     203.747           0       65509     43374.3
2          21     348.598     204.284           0     65335.8     42279.3
2          22     349.446      204.82           0       65509     42618.7
2          23     350.295     205.353           0       65509     43356.7
2          24     351.148     205.881           0       65509     44133.9
2          25     352.003     206.405           0       65509     44568.1
2          26      352.86     206.926           0       65509     44652.5
2          27     353.718     207.446           0       65509     43436.1
2          28     354.575     207.967           0       65509     41000.9
2          29     355.425     208.499           0       65509     40799.3
2          30     356.263      209.05           0       65509     39777.7
2          31     357.079     209.634           0       65509     38856.4
2          32     357.869     210.252           0       65509     38065.8
2          33     358.637     210.896           0       65509       37655
2          34     359.397     211.551           0       65509     37028.4
2          35     360.175     212.184           0       65509     37664.7
2          36     361.003      212.75           0       65509     37038.8
2          37     361.905     213.188           0     64376.2     37901.6
2          38     362.863     213.485           0     60916.4     42140.7
2          39     363.844      213.69           0     60300.6     46207.1
2          40     364.829      213.88           0     63214.7     46419.7
2          41     365.804     214.114           0     64204.1     44633.3
2          42     366.763     214.408           0     64536.8       43839
2          43     367.704     214.757           0     64941.9     41913.3
2          44     368.624     215.156           0     63978.4     39790.3
2          45     369.528     215.591           0     62964.2     37542.4
2          46     370.416     216.056           0     63207.7     36010.4
2          47     371.294     216.541           0     62210.8     34750.4
2          48     372.164      217.04           0     63479.7     33792.5
2          49     373.034     217.539           0     62978.3     33424.4
2          50     373.909      218.03           0     65327.9     33410.5
2          51     374.788     218.513           0       60999     33080.5
2          52     375.663     219.003           0     63428.3     33642.4
2          53     376.527     219.512           0     61931.6     33547.4
2          54     377.374      220.05           0     61123.1     32823.4
2          55     378.199      220.62           0     58784.4     32562.4
2          56     379.003     221.219           0       59348     31867.3
2          57     379.788     221.844           0     61442.5     32143.2
2          58     380.554     222.491           0     60479.8     32289.3
2          59     381.305     223.156           0     59758.8     32462.1
2          60      382.04     223.838           0     59992.6     31759.3
2          61     382.762     224.534           0       58485     32600.2
2          62     383.473     225.242           0     58986.8       32695
2          63     384.172     225.961           0     61270.1     32547.7
2          64     384.857     226.693           0     62520.4     33167.6
2          65     385.528     227.439           0     62945.1     34298.7
2          66     386.188     228.195           0     64432.9     34780.3
2          67     386.841     228.956           0     64977.8     35611.7
2          68     387.494     229.717           0     65455.6     36264.6
2          69     388.146     230.479           0     64857.5     36508.1
2          70     388.797     231.242           0     64964.8     37210.8
2          71     389.452     232.002           0     65500.8     36304.6
2          72     390.105     232.762           0     65202.5     35851.6
2          73     390.757     233.525           0     64552.8     35039.8
2          74     391.411     234.285           0     64780.4     34765.8
2          75     392.072      235.04           0       65509     34549.4
2          76     392.743     235.785           0       65509     34954.7
2          77     393.419     236.526           0       65509     34473.6
2          78     394.091      237.27           0       65509     34942.2
2          79     394.744     238.032           0     65439.8     35243.8
2          80     395.367     238.818           0     65425.9     34872.7
2          81     395.957     239.629           0     65348.2     33996.4
2          82     396.525     240.455           0       65509     34128.6
2          83     397.081      241.29           0     65289.6       34141
2          84     397.632     242.128           0     65231.5     34140.8
2          85     398.179     242.969           0     64782.9     34328.5
2          86     398.717     243.815           0     64226.7     35071.1
2          87     399.246     244.667           0     62060.2     35418.8
2          88      399.76     245.529           0     60799.1     35080.1
2          89     400.257       246.4           0     63081.9     35160.4
2          90     400.736     247.281           0     65134.8     35436.7
2          91     401.208     248.166           0     64732.7     36984.8
2          92     401.686     249.048           0     65449.1       37338
2          93     402.188     249.916           0     64437.9     37683.3
2          94     402.722     250.765           0     63545.6     37645.7
2          95     403.293     251.589           0     61351.7     37355.2
2          96     403.903     252.386           0     60461.5       38754
2          97     404.555     253.148           0     61044.2     37798.3
2          98     405.254     253.867           0     60855.7     37466.5
2          99     406.014     254.521           0     60165.9     30989.3
2         100     406.851     255.074           0     57181.9     30712.6
2         101     407.761     255.495           0     56345.7       28236
2         102     408.718     255.796           0     57597.3       27842
2         103     409.693     256.031           0     61082.4     29673.9
2         104     410.669     256.262           0     61077.7     27005.6
2         105     411.638     256.523           0     59821.4       24910
2         106     412.595     256.821           0     58572.3     23496.5
2         107     413.544     257.148           0     60802.1     25460.6
2         108     414.487     257.488           0     61745.8     24423.3
2         109     415.427     257.838           0     62446.4     23066.7
2         110     416.365     258.194           0     61959.9     21765.9
2         111     417.303     258.547           0     58118.7     23228.1
2         112     418.244     258.896           0     57476.9     23502.6
2         113     419.187     259.238           0     55852.7     22731.1
2         114     420.132     259.573           0     56099.8     22079.6
2         115     421.082     259.894           0     59452.9     25371.3
2         116     422.033     260.214           0       60562     28331.6
2         117     422.992     260.507           0       60478     30148.1
2         118     423.963     260.759           0     60470.9     31841.6
2         119     424.939     260.988           0     61757.5     37642.6
2         120     425.907     261.249           0       63909     34215.1
2         121     426.835     261.631           0     65388.3     27852.8
2         122     427.682     262.167           0       65509     25015.5
2         123     428.465     262.794           0       65509     21827.6
2         124     429.233     263.438           0       65509     20821.4
#1
3           0     410.383     199.641           0     34968.4     21710.8
3           1     410.925     200.482           0     37770.4     22235.8
3           2     411.468     201.322           0     40389.5     22880.9
3           3     412.031     202.149           0     42625.7     23873.9
3           4     412.643     202.939           0     39611.8       25202
3           5     413.333     203.663           0     35643.3     27011.5
3           6      414.11     204.292           0     30519.2     28743.3
3           7     414.956     204.827           0     30317.5     30512.2
3           8     415.838     205.297           0     29454.2     30634.2
3           9     416.735      205.74           0     28615.9     28928.9
3          10     417.636     206.174           0       27776     27399.8
3          11     418.549     206.582           0     27440.3     25554.1
3          12     419.482     206.941           0     28424.1     24789.6
3          13     420.437      207.24           0     29884.2     23966.6
3          14     421.408     207.476           0     30319.1       23385
3          15     422.393     207.653           0     31590.6     23159.7
3          16     423.384     207.784           0     34179.4       22573
3          17     424.379     207.884           0     35008.6     22483.5
3          18     425.376      207.97           0     33471.4     22381.9
3          19     426.372     208.053           0     32204.2     21918.2
3          20     427.368     208.142           0       33421     22316.5
3          21     428.364     208.235           0     32392.5     22278.2
3          22      429.36     208.323           0     30879.1     22609.7
